Date,Team 1,Team 2,Team 1 Score,Team 2 Score,Game Type
2019 Wk7,Miami Inferno,Brooklyn Bolts,117.3,143.6,Season
2019 Wk7,Los Angeles Wildcats,Boston Brawlers,90.5,119.5,Season
2019 Wk8,Cedar Rapids Titans,Miami Inferno,104.1,133.2,Season
2019 Wk8,Milwaukee Mustangs,Los Angeles Wildcats,92.2,101.9,Season
2019 Wk8,Vegas Knight Hawks,Philadelphia Soul,152.9,163.1,Season
2019 Wk8,Northern Arizona Wranglers,Chicago Slaughter,82.6,161.9,Season
2019 Wk8,Tucson Sugar Skulls,Brooklyn Bolts,160.8,103,Season
2019 Wk8,Cleveland Gladiators,Boston Brawlers,166.2,108.4,Season
2019 Wk9,Miami Inferno,Milwaukee Mustangs,109.8,106.7,Season
2019 Wk9,Los Angeles Wildcats,Vegas Knight Hawks,102.4,142.6,Season
2019 Wk9,Philadelphia Soul,Cedar Rapids Titans,120.8,111.4,Season
2019 Wk9,Chicago Slaughter,Tucson Sugar Skulls,148.9,121.2,Season
2019 Wk9,Brooklyn Bolts,Cleveland Gladiators,155.6,106.8,Season
2019 Wk9,Boston Brawlers,Northern Arizona Wranglers,147.3,139.3,Season
2019 Wk10,Vegas Knight Hawks,Miami Inferno,109.7,120.3,Season
2019 Wk10,Cedar Rapids Titans,Los Angeles Wildcats,95.8,138.4,Season
2019 Wk10,Milwaukee Mustangs,Philadelphia Soul,143.6,128,Season
2019 Wk10,Cleveland Gladiators,Chicago Slaughter,128.5,144.2,Season
2019 Wk10,Northern Arizona Wranglers,Brooklyn Bolts,117.1,114.5,Season
2019 Wk10,Tucson Sugar Skulls,Boston Brawlers,126.5,147.2,Season
2019 Wk11,Cedar Rapids Titans,Chicago Slaughter,78.9,104.1,Season
2019 Wk11,Milwaukee Mustangs,Brooklyn Bolts,127,135.4,Season
2019 Wk11,Vegas Knight Hawks,Boston Brawlers,100,128.6,Season
2019 Wk11,Northern Arizona Wranglers,Miami Inferno,104.1,126.3,Season
2019 Wk11,Tucson Sugar Skulls,Los Angeles Wildcats,92.8,130.6,Season
2019 Wk11,Cleveland Gladiators,Philadelphia Soul,134.9,128.6,Season
2019 Wk12,Chicago Slaughter,Milwaukee Mustangs,105.4,95.4,Season
2019 Wk12,Brooklyn Bolts,Vegas Knight Hawks,161.3,95.1,Season
2019 Wk12,Boston Brawlers,Cedar Rapids Titans,112.5,117.5,Season
2019 Wk12,Miami Inferno,Tucson Sugar Skulls,143,61.6,Season
2019 Wk12,Los Angeles Wildcats,Cleveland Gladiators,159,123.2,Season
2019 Wk12,Philadelphia Soul,Northern Arizona Wranglers,159.4,80,Season
2019 Wk13,Vegas Knight Hawks,Chicago Slaughter,94.9,127.8,Season
2019 Wk13,Cedar Rapids Titans,Brooklyn Bolts,122,95.9,Season
2019 Wk13,Milwaukee Mustangs,Boston Brawlers,125.8,137,Season
2019 Wk13,Cleveland Gladiators,Miami Inferno,112.3,101.6,Season
2019 Wk13,Northern Arizona Wranglers,Los Angeles Wildcats,93.8,108.3,Season
2019 Wk13,Tucson Sugar Skulls,Philadelphia Soul,114.5,92.8,Season
2019 Wk14,Los Angeles Wildcats,Northern Arizona Wranglers,116.4,106.3,Playoffs
2019 Wk14,Brooklyn Bolts,Vegas Knight Hawks,159.7,91.4,Playoffs
2019 Wk14,Milwaukee Mustangs,Tucson Sugar Skulls,91.5,118.7,Consolation
2019 Wk14,Cleveland Gladiators,Boston Brawlers,129.7,86,Consolation
2019 Wk14,Cedar Rapids Titans,Philadelphia Soul,115.3,157.7,Consolation
2019 Wk15,Miami Inferno,Los Angeles Wildcats,115.7,115.6,Playoffs
2019 Wk15,Chicago Slaughter,Brooklyn Bolts,107.7,128.9,Playoffs
2019 Wk15,Vegas Knight Hawks,Northern Arizona Wranglers,78.1,152.2,Consolation
2019 Wk15,Cleveland Gladiators,Philadelphia Soul,193.7,143.6,Consolation
2019 Wk15,Milwaukee Mustangs,Cedar Rapids Titans,131.1,86.9,Consolation
2019 Wk15,Boston Brawlers,Tucson Sugar Skulls,143.7,108.6,Consolation
2019 Wk16,Brooklyn Bolts,Miami Inferno,111.9,129.1,Playoffs
2019 Wk16,Chicago Slaughter,Los Angeles Wildcats,107.3,115.4,Consolation
2019 Wk16,Vegas Knight Hawks,Northern Arizona Wranglers,112.9,96.7,Consolation
2019 Wk16,Cleveland Gladiators,Boston Brawlers,150.1,122.7,Consolation
2019 Wk16,Philadelphia Soul,Milwaukee Mustangs,145.7,103.7,Consolation
2019 Wk16,Tucson Sugar Skulls,Cedar Rapids Titans,106.9,82.8,Consolation
2021 Wk1,Philadelphia Soul,Vegas Knight Hawks,176.85,133.2,Season
2021 Wk1,Boston Brawlers,Miami Inferno,144.2,145.9,Season
2021 Wk1,Tucson Sugar Skulls,Brooklyn Bolts,147.35,154.95,Season
2021 Wk1,Milwaukee Mustangs,Cleveland Gladiators,159.05,161.95,Season
2021 Wk1,Northern Arizona Wranglers,Cedar Rapids Titans,163.85,139.2,Season
2021 Wk1,Chicago Slaughter,Los Angeles Wildcats,147.85,156.3,Season
2021 Wk2,Miami Inferno,Los Angeles Wildcats,171.35,168.2,Season
2021 Wk2,Tucson Sugar Skulls,Milwaukee Mustangs,136.7,119,Season
2021 Wk2,Cedar Rapids Titans,Vegas Knight Hawks,113.05,164.7,Season
2021 Wk2,Cleveland Gladiators,Brooklyn Bolts,183.5,159.25,Season
2021 Wk2,Philadelphia Soul,Northern Arizona Wranglers,150.65,140.65,Season
2021 Wk2,Chicago Slaughter,Boston Brawlers,77.15,135.65,Season
2021 Wk3,Philadelphia Soul,Cedar Rapids Titans,134.85,155,Season
2021 Wk3,Vegas Knight Hawks,Northern Arizona Wranglers,145.9,135.5,Season
2021 Wk3,Cleveland Gladiators,Tucson Sugar Skulls,152.8,112,Season
2021 Wk3,Chicago Slaughter,Miami Inferno,117.7,156.6,Season
2021 Wk3,Brooklyn Bolts,Milwaukee Mustangs,131.95,142.55,Season
2021 Wk3,Los Angeles Wildcats,Boston Brawlers,128.75,158.3,Season
2021 Wk4,Vegas Knight Hawks,Chicago Slaughter,151.55,134.7,Season
2021 Wk4,Miami Inferno,Brooklyn Bolts,101.65,142.2,Season
2021 Wk4,Tucson Sugar Skulls,Cedar Rapids Titans,134.35,115.8,Season
2021 Wk4,Northern Arizona Wranglers,Cleveland Gladiators,135.6,171.55,Season
2021 Wk4,Boston Brawlers,Milwaukee Mustangs,119.8,128.6,Season
2021 Wk4,Philadelphia Soul,Los Angeles Wildcats,137.3,156.9,Season
2021 Wk5,Chicago Slaughter,Northern Arizona Wranglers,146.2,130,Season
2021 Wk5,Milwaukee Mustangs,Philadelphia Soul,147.55,189.9,Season
2021 Wk5,Brooklyn Bolts,Cedar Rapids Titans,146.8,107.4,Season
2021 Wk5,Vegas Knight Hawks,Miami Inferno,153.85,170.4,Season
2021 Wk5,Cleveland Gladiators,Boston Brawlers,126.95,144.15,Season
2021 Wk5,Tucson Sugar Skulls,Los Angeles Wildcats,176.85,202.4,Season
2021 Wk6,Milwaukee Mustangs,Miami Inferno,138.95,114.45,Season
2021 Wk6,Northern Arizona Wranglers,Boston Brawlers,167.75,139.65,Season
2021 Wk6,Brooklyn Bolts,Chicago Slaughter,168.1,137.55,Season
2021 Wk6,Cedar Rapids Titans,Los Angeles Wildcats,132.1,132.75,Season
2021 Wk6,Tucson Sugar Skulls,Vegas Knight Hawks,151.35,130.45,Season
2021 Wk6,Cleveland Gladiators,Philadelphia Soul,147.15,146.35,Season
2021 Wk7,Vegas Knight Hawks,Los Angeles Wildcats,153.4,134.85,Season
2021 Wk7,Chicago Slaughter,Milwaukee Mustangs,123.95,161.5,Season
2021 Wk7,Brooklyn Bolts,Northern Arizona Wranglers,120,110.2,Season
2021 Wk7,Cleveland Gladiators,Cedar Rapids Titans,171.55,103.05,Season
2021 Wk7,Boston Brawlers,Tucson Sugar Skulls,117.7,128.45,Season
2021 Wk7,Miami Inferno,Philadelphia Soul,149.4,162,Season
2021 Wk8,Northern Arizona Wranglers,Milwaukee Mustangs,125.55,152.55,Season
2021 Wk8,Cleveland Gladiators,Vegas Knight Hawks,103.5,148.65,Season
2021 Wk8,Cedar Rapids Titans,Boston Brawlers,152.8,112.25,Season
2021 Wk8,Miami Inferno,Tucson Sugar Skulls,104.35,141.85,Season
2021 Wk8,Philadelphia Soul,Chicago Slaughter,84.4,149.15,Season
2021 Wk8,Los Angeles Wildcats,Brooklyn Bolts,110.35,143.7,Season
2021 Wk9,Miami Inferno,Cleveland Gladiators,105.9,99.95,Season
2021 Wk9,Tucson Sugar Skulls,Northern Arizona Wranglers,89.95,105.9,Season
2021 Wk9,Brooklyn Bolts,Philadelphia Soul,124.15,140.9,Season
2021 Wk9,Boston Brawlers,Vegas Knight Hawks,75.6,106.1,Season
2021 Wk9,Los Angeles Wildcats,Milwaukee Mustangs,155.8,137.6,Season
2021 Wk9,Cedar Rapids Titans,Chicago Slaughter,135.3,128.7,Season
2021 Wk10,Philadelphia Soul,Tucson Sugar Skulls,112.5,125.3,Season
2021 Wk10,Los Angeles Wildcats,Northern Arizona Wranglers,135.15,117.7,Season
2021 Wk10,Chicago Slaughter,Cleveland Gladiators,130.2,136.7,Season
2021 Wk10,Milwaukee Mustangs,Vegas Knight Hawks,132.85,99.3,Season
2021 Wk10,Cedar Rapids Titans,Miami Inferno,99.2,107.55,Season
2021 Wk10,Boston Brawlers,Brooklyn Bolts,79.3,119,Season
2021 Wk11,Chicago Slaughter,Tucson Sugar Skulls,109.3,131.15,Season
2021 Wk11,Los Angeles Wildcats,Cleveland Gladiators,240.5,120.35,Season
2021 Wk11,Vegas Knight Hawks,Brooklyn Bolts,150.45,158.95,Season
2021 Wk11,Milwaukee Mustangs,Cedar Rapids Titans,101.8,97.05,Season
2021 Wk11,Philadelphia Soul,Boston Brawlers,137.45,139.65,Season
2021 Wk11,Northern Arizona Wranglers,Miami Inferno,136.6,135.95,Season
2021 Wk12,Los Angeles Wildcats,Chicago Slaughter,144.95,124.95,Season
2021 Wk12,Vegas Knight Hawks,Philadelphia Soul,109.75,132.05,Season
2021 Wk12,Brooklyn Bolts,Tucson Sugar Skulls,175.95,104.3,Season
2021 Wk12,Cedar Rapids Titans,Northern Arizona Wranglers,144.65,171.8,Season
2021 Wk12,Miami Inferno,Boston Brawlers,129.85,125.6,Season
2021 Wk12,Cleveland Gladiators,Milwaukee Mustangs,67.55,135.5,Season
2021 Wk13,Brooklyn Bolts,Cleveland Gladiators,117.2,160.15,Season
2021 Wk13,Los Angeles Wildcats,Miami Inferno,178.75,112.3,Season
2021 Wk13,Boston Brawlers,Chicago Slaughter,132.75,124,Season
2021 Wk13,Northern Arizona Wranglers,Philadelphia Soul,117.2,148.15,Season
2021 Wk13,Milwaukee Mustangs,Tucson Sugar Skulls,185.75,128.6,Season
2021 Wk13,Vegas Knight Hawks,Cedar Rapids Titans,128.2,63.55,Season
2021 Wk14,Boston Brawlers,Chicago Slaughter,164.7,125.45,Season
2021 Wk14,Miami Inferno,Los Angeles Wildcats,103.7,156.55,Season
2021 Wk14,Philadelphia Soul,Vegas Knight Hawks,136.65,128,Season
2021 Wk14,Milwaukee Mustangs,Brooklyn Bolts,142.15,150.45,Season
2021 Wk14,Cedar Rapids Titans,Northern Arizona Wranglers,164.5,125.3,Season
2021 Wk14,Tucson Sugar Skulls,Cleveland Gladiators,156.85,188.35,Season
2021 Wk15,Cleveland Gladiators,Milwaukee Mustangs,89.85,127.5,Playoffs
2021 Wk15,Tucson Sugar Skulls,Philadelphia Soul,109.6,189,Playoffs
2021 Wk15,Miami Inferno,Los Angeles Wildcats,54,185,Playoffs
2021 Wk15,Boston Brawlers,Vegas Knight Hawks,111.9,131.25,Consolation
2021 Wk15,Cedar Rapids Titans,Northern Arizona Wranglers,89,136.8,Consolation
2021 Wk16,Milwaukee Mustangs,Brooklyn Bolts,132.05,140.1,Playoffs
2021 Wk16,Philadelphia Soul,Los Angeles Wildcats,142.05,144.3,Playoffs
2021 Wk16,Tucson Sugar Skulls,Cleveland Gladiators,105.9,156.95,Consolation
2021 Wk16,Northern Arizona Wranglers,Vegas Knight Hawks,153.7,125.05,Consolation
2021 Wk16,Chicago Slaughter,Boston Brawlers,186.1,90.6,Consolation
2021 Wk17,Los Angeles Wildcats,Brooklyn Bolts,117.85,148.2,Playoffs
2021 Wk17,Milwaukee Mustangs,Philadelphia Soul,99.25,140.75,Consolation
2021 Wk17,Miami Inferno,Cleveland Gladiators,127.9,217.75,Consolation
2021 Wk17,Chicago Slaughter,Northern Arizona Wranglers,148.1,128.45,Consolation
2021 Wk17,Cedar Rapids Titans,Vegas Knight Hawks,136.65,110.2,Consolation
2021 Wk17,Tucson Sugar Skulls,0,1,0,Consolation
2021 Wk17,Boston Brawlers,0,1,0,Consolation
2022 Wk1,Philadelphia Soul,Vegas Knight Hawks,113.6,169.05,Season
2022 Wk1,Miami Inferno,Boston Brawlers,96.75,152.9,Season
2022 Wk1,Tucson Sugar Skulls,Brooklyn Bolts,136.15,134.4,Season
2022 Wk1,Milwaukee Mustangs,Cleveland Gladiators,95,120.9,Season
2022 Wk1,Northern Arizona Wranglers,Cedar Rapids Titans,104.6,170.85,Season
2022 Wk1,Chicago Slaughter,Los Angeles Wildcats,73.4,153.05,Season
2022 Wk2,Boston Brawlers,Los Angeles Wildcats,110.25,138.45,Season
2022 Wk2,Tucson Sugar Skulls,Milwaukee Mustangs,178.85,123.7,Season
2022 Wk2,Cedar Rapids Titans,Vegas Knight Hawks,132.5,142.65,Season
2022 Wk2,Cleveland Gladiators,Brooklyn Bolts,115.4,97.15,Season
2022 Wk2,Philadelphia Soul,Northern Arizona Wranglers,122.5,91.55,Season
2022 Wk2,Chicago Slaughter,Miami Inferno,142.15,162,Season
2022 Wk3,Philadelphia Soul,Cedar Rapids Titans,115.85,118.95,Season
2022 Wk3,Vegas Knight Hawks,Northern Arizona Wranglers,138.3,111.05,Season
2022 Wk3,Cleveland Gladiators,Tucson Sugar Skulls,127.2,97.4,Season
2022 Wk3,Chicago Slaughter,Boston Brawlers,131.45,93.8,Season
2022 Wk3,Brooklyn Bolts,Milwaukee Mustangs,92,105.95,Season
2022 Wk3,Los Angeles Wildcats,Miami Inferno,140.1,139.6,Season
2022 Wk4,Vegas Knight Hawks,Chicago Slaughter,103.3,119.7,Season
2022 Wk4,Boston Brawlers,Brooklyn Bolts,170.05,125.85,Season
2022 Wk4,Tucson Sugar Skulls,Cedar Rapids Titans,147.25,164.2,Season
2022 Wk4,Northern Arizona Wranglers,Cleveland Gladiators,138.75,103.5,Season
2022 Wk4,Miami Inferno,Milwaukee Mustangs,141.1,68,Season
2022 Wk4,Philadelphia Soul,Los Angeles Wildcats,120.95,142.6,Season
2022 Wk5,Chicago Slaughter,Northern Arizona Wranglers,152.45,138.05,Season
2022 Wk5,Milwaukee Mustangs,Philadelphia Soul,138,106.5,Season
2022 Wk5,Brooklyn Bolts,Cedar Rapids Titans,106.25,117.3,Season
2022 Wk5,Vegas Knight Hawks,Boston Brawlers,154.75,105.7,Season
2022 Wk5,Cleveland Gladiators,Miami Inferno,136.05,143.25,Season
2022 Wk5,Tucson Sugar Skulls,Los Angeles Wildcats,139.7,148.7,Season
2022 Wk6,Milwaukee Mustangs,Boston Brawlers,117,93.3,Season
2022 Wk6,Northern Arizona Wranglers,Miami Inferno,152,103.6,Season
2022 Wk6,Brooklyn Bolts,Chicago Slaughter,155.55,109.15,Season
2022 Wk6,Cedar Rapids Titans,Los Angeles Wildcats,95.4,125.75,Season
2022 Wk6,Tucson Sugar Skulls,Vegas Knight Hawks,124.2,128.45,Season
2022 Wk6,Cleveland Gladiators,Philadelphia Soul,88.55,88.5,Season
2022 Wk7,Vegas Knight Hawks,Los Angeles Wildcats,102.8,113.35,Season
2022 Wk7,Chicago Slaughter,Milwaukee Mustangs,115.35,114.9,Season
2022 Wk7,Brooklyn Bolts,Northern Arizona Wranglers,142.05,147.15,Season
2022 Wk7,Cleveland Gladiators,Cedar Rapids Titans,101.9,97.95,Season
2022 Wk7,Miami Inferno,Tucson Sugar Skulls,102.3,120,Season
2022 Wk7,Boston Brawlers,Philadelphia Soul,119.95,111.45,Season
2022 Wk8,Northern Arizona Wranglers,Milwaukee Mustangs,120.9,103.85,Season
2022 Wk8,Cleveland Gladiators,Vegas Knight Hawks,120.95,130.45,Season
2022 Wk8,Cedar Rapids Titans,Miami Inferno,128.25,137.2,Season
2022 Wk8,Boston Brawlers,Tucson Sugar Skulls,127.85,165.8,Season
2022 Wk8,Philadelphia Soul,Chicago Slaughter,80.35,144.1,Season
2022 Wk8,Los Angeles Wildcats,Brooklyn Bolts,108.1,214.8,Season
2022 Wk9,Boston Brawlers,Cleveland Gladiators,137.35,138.65,Season
2022 Wk9,Tucson Sugar Skulls,Northern Arizona Wranglers,119.05,102.3,Season
2022 Wk9,Brooklyn Bolts,Philadelphia Soul,127.3,94.05,Season
2022 Wk9,Miami Inferno,Vegas Knight Hawks,120.75,121.55,Season
2022 Wk9,Los Angeles Wildcats,Milwaukee Mustangs,114.15,113.8,Season
2022 Wk9,Cedar Rapids Titans,Chicago Slaughter,139.65,135.25,Season
2022 Wk10,Philadelphia Soul,Tucson Sugar Skulls,101.95,114.2,Season
2022 Wk10,Los Angeles Wildcats,Northern Arizona Wranglers,141.2,104,Season
2022 Wk10,Chicago Slaughter,Cleveland Gladiators,130.95,133.75,Season
2022 Wk10,Milwaukee Mustangs,Vegas Knight Hawks,123.55,115.15,Season
2022 Wk10,Cedar Rapids Titans,Boston Brawlers,117.1,121.65,Season
2022 Wk10,Miami Inferno,Brooklyn Bolts,137.9,121.75,Season
2022 Wk11,Chicago Slaughter,Tucson Sugar Skulls,111.2,108.35,Season
2022 Wk11,Los Angeles Wildcats,Cleveland Gladiators,123.15,122.25,Season
2022 Wk11,Vegas Knight Hawks,Brooklyn Bolts,137.8,137.55,Season
2022 Wk11,Milwaukee Mustangs,Cedar Rapids Titans,188.25,85.6,Season
2022 Wk11,Philadelphia Soul,Miami Inferno,77.35,79.35,Season
2022 Wk11,Northern Arizona Wranglers,Boston Brawlers,127.35,117.65,Season
2022 Wk12,Los Angeles Wildcats,Chicago Slaughter,152.45,120.55,Season
2022 Wk12,Vegas Knight Hawks,Philadelphia Soul,162.65,108.65,Season
2022 Wk12,Brooklyn Bolts,Tucson Sugar Skulls,132.15,136.55,Season
2022 Wk12,Cedar Rapids Titans,Northern Arizona Wranglers,133.7,114.8,Season
2022 Wk12,Boston Brawlers,Miami Inferno,144.45,134.05,Season
2022 Wk12,Cleveland Gladiators,Milwaukee Mustangs,100.7,144.1,Season
2022 Wk13,Brooklyn Bolts,Cleveland Gladiators,130.15,112.3,Season
2022 Wk13,Los Angeles Wildcats,Boston Brawlers,135.75,97.85,Season
2022 Wk13,Miami Inferno,Chicago Slaughter,115.75,112.7,Season
2022 Wk13,Northern Arizona Wranglers,Philadelphia Soul,175.15,115.7,Season
2022 Wk13,Milwaukee Mustangs,Tucson Sugar Skulls,109.85,137.55,Season
2022 Wk13,Vegas Knight Hawks,Cedar Rapids Titans,182.7,128.55,Season
2022 Wk14,Miami Inferno,Los Angeles Wildcats,130.9,113.05,Season
2022 Wk14,Boston Brawlers,Chicago Slaughter,138.5,124.9,Season
2022 Wk14,Northern Arizona Wranglers,Vegas Knight Hawks,127.15,161.95,Season
2022 Wk14,Milwaukee Mustangs,Brooklyn Bolts,120.7,125.25,Season
2022 Wk14,Cedar Rapids Titans,Philadelphia Soul,119.25,67.05,Season
2022 Wk14,Tucson Sugar Skulls,Cleveland Gladiators,112.45,141.4,Season
2022 Wk15,Miami Inferno,Tucson Sugar Skulls,107.6,156.45,Playoffs
2022 Wk15,Cedar Rapids Titans,Cleveland Gladiators,102.75,143.2,Playoffs
2022 Wk15,Northern Arizona Wranglers,Vegas Knight Hawks,160.9,151.95,Playoffs
2022 Wk15,Chicago Slaughter,Boston Brawlers,122.2,163.3,Consolation
2022 Wk15,Brooklyn Bolts,Milwaukee Mustangs,145.8,119.1,Consolation
2022 Wk16,Tucson Sugar Skulls,Los Angeles Wildcats,139.4,116.7,Playoffs
2022 Wk16,Northern Arizona Wranglers,Cleveland Gladiators,162.15,112.35,Playoffs
2022 Wk16,Miami Inferno,Vegas Knight Hawks,143.25,103.2,Consolation
2022 Wk16,Brooklyn Bolts,Boston Brawlers,114.8,121.85,Consolation
2022 Wk16,Milwaukee Mustangs,Chicago Slaughter,146.4,174.05,Consolation
2022 Wk17,Northern Arizona Wranglers,Tucson Sugar Skulls,121.7,185.25,Playoffs
2022 Wk17,Cleveland Gladiators,Los Angeles Wildcats,101.25,147.4,Consolation
2022 Wk17,Cedar Rapids Titans,Miami Inferno,80.6,102,Consolation
2022 Wk17,Chicago Slaughter,Boston Brawlers,105.4,50.3,Consolation
2022 Wk17,Milwaukee Mustangs,Brooklyn Bolts,116.6,113.95,Consolation
2022 Wk17,Vegas Knight Hawks,0,1,0,Consolation
2022 Wk17,Philadelphia Soul,0,1,0,Consolation
2023 Wk1,Philadelphia Soul,Vegas Knight Hawks,134.1,74.3,Season
2023 Wk1,Miami Inferno,Boston Brawlers,163.4,133.95,Season
2023 Wk1,Brooklyn Bolts,Tucson Sugar Skulls,160.25,146.15,Season
2023 Wk1,Milwaukee Mustangs,Cleveland Gladiators,155.7,149.7,Season
2023 Wk1,Northern Arizona Wranglers,Cedar Rapids Titans,159.85,151.1,Season
2023 Wk1,Chicago Slaughter,Los Angeles Wildcats,118.85,130.3,Season
2023 Wk2,Boston Brawlers,Los Angeles Wildcats,98,166.1,Season
2023 Wk2,Tucson Sugar Skulls,Milwaukee Mustangs,174.15,180.3,Season
2023 Wk2,Cedar Rapids Titans,Vegas Knight Hawks,174.85,201.1,Season
2023 Wk2,Cleveland Gladiators,Brooklyn Bolts,144.95,180.2,Season
2023 Wk2,Philadelphia Soul,Northern Arizona Wranglers,187.65,187.75,Season
2023 Wk2,Chicago Slaughter,Miami Inferno,170.15,132.05,Season
2023 Wk3,Philadelphia Soul,Cedar Rapids Titans,159.55,182.35,Season
2023 Wk3,Vegas Knight Hawks,Northern Arizona Wranglers,122.85,151.75,Season
2023 Wk3,Cleveland Gladiators,Tucson Sugar Skulls,227.4,160.7,Season
2023 Wk3,Chicago Slaughter,Boston Brawlers,128.85,160.8,Season
2023 Wk3,Brooklyn Bolts,Milwaukee Mustangs,223.1,164.85,Season
2023 Wk3,Los Angeles Wildcats,Miami Inferno,129,157.35,Season
2023 Wk4,Vegas Knight Hawks,Chicago Slaughter,184.85,156.55,Season
2023 Wk4,Boston Brawlers,Brooklyn Bolts,143.9,135.2,Season
2023 Wk4,Tucson Sugar Skulls,Cedar Rapids Titans,218.8,121.65,Season
2023 Wk4,Northern Arizona Wranglers,Cleveland Gladiators,126.15,160.85,Season
2023 Wk4,Miami Inferno,Milwaukee Mustangs,166.2,165.55,Season
2023 Wk4,Philadelphia Soul,Los Angeles Wildcats,119.65,181.1,Season
2023 Wk5,Chicago Slaughter,Northern Arizona Wranglers,101.75,111.9,Season
2023 Wk5,Milwaukee Mustangs,Philadelphia Soul,186.4,211.55,Season
2023 Wk5,Brooklyn Bolts,Cedar Rapids Titans,138.5,188.4,Season
2023 Wk5,Vegas Knight Hawks,Boston Brawlers,159.1,117.3,Season
2023 Wk5,Cleveland Gladiators,Miami Inferno,211.35,157.55,Season
2023 Wk5,Tucson Sugar Skulls,Los Angeles Wildcats,161.4,129.65,Season
2023 Wk6,Milwaukee Mustangs,Boston Brawlers,176.75,156.15,Season
2023 Wk6,Northern Arizona Wranglers,Miami Inferno,167.25,152.9,Season
2023 Wk6,Brooklyn Bolts,Chicago Slaughter,181.2,154.9,Season
2023 Wk6,Cedar Rapids Titans,Los Angeles Wildcats,92.3,170.05,Season
2023 Wk6,Tucson Sugar Skulls,Vegas Knight Hawks,148.75,84.6,Season
2023 Wk6,Cleveland Gladiators,Philadelphia Soul,178.6,182,Season
2023 Wk7,Vegas Knight Hawks,Los Angeles Wildcats,106.25,172.95,Season
2023 Wk7,Chicago Slaughter,Milwaukee Mustangs,142.5,169.4,Season
2023 Wk7,Brooklyn Bolts,Northern Arizona Wranglers,126.3,97.25,Season
2023 Wk7,Cleveland Gladiators,Cedar Rapids Titans,206.4,141.9,Season
2023 Wk7,Miami Inferno,Tucson Sugar Skulls,191.45,202.05,Season
2023 Wk7,Boston Brawlers,Philadelphia Soul,189.1,161.05,Season
2023 Wk8,Northern Arizona Wranglers,Milwaukee Mustangs,166.6,199.45,Season
2023 Wk8,Cleveland Gladiators,Vegas Knight Hawks,158.4,167.5,Season
2023 Wk8,Cedar Rapids Titans,Miami Inferno,109.5,216.2,Season
2023 Wk8,Boston Brawlers,Tucson Sugar Skulls,180.4,170.55,Season
2023 Wk8,Philadelphia Soul,Chicago Slaughter,173.35,193.6,Season
2023 Wk8,Los Angeles Wildcats,Brooklyn Bolts,167.3,147.6,Season
2023 Wk9,Boston Brawlers,Cleveland Gladiators,116.4,128.15,Season
2023 Wk9,Tucson Sugar Skulls,Northern Arizona Wranglers,154.85,153.3,Season
2023 Wk9,Brooklyn Bolts,Philadelphia Soul,160.15,173.95,Season
2023 Wk9,Miami Inferno,Vegas Knight Hawks,137.15,102,Season
2023 Wk9,Los Angeles Wildcats,Milwaukee Mustangs,133.8,140.5,Season
2023 Wk9,Cedar Rapids Titans,Chicago Slaughter,154.4,182.35,Season
2023 Wk10,Philadelphia Soul,Tucson Sugar Skulls,162.9,150.85,Season
2023 Wk10,Los Angeles Wildcats,Northern Arizona Wranglers,125.45,164.25,Season
2023 Wk10,Chicago Slaughter,Cleveland Gladiators,167.3,104.6,Season
2023 Wk10,Milwaukee Mustangs,Vegas Knight Hawks,181.25,141.9,Season
2023 Wk10,Cedar Rapids Titans,Boston Brawlers,164.7,179,Season
2023 Wk10,Miami Inferno,Brooklyn Bolts,146,163.75,Season
2023 Wk11,Chicago Slaughter,Tucson Sugar Skulls,173.15,143.2,Season
2023 Wk11,Los Angeles Wildcats,Cleveland Gladiators,142.05,131.75,Season
2023 Wk11,Vegas Knight Hawks,Brooklyn Bolts,169.5,140.3,Season
2023 Wk11,Milwaukee Mustangs,Cedar Rapids Titans,124.05,161.9,Season
2023 Wk11,Philadelphia Soul,Miami Inferno,201.6,152.75,Season
2023 Wk11,Northern Arizona Wranglers,Boston Brawlers,139.1,135.55,Season
2023 Wk12,Los Angeles Wildcats,Chicago Slaughter,185.65,177.75,Season
2023 Wk12,Vegas Knight Hawks,Philadelphia Soul,109.25,213.8,Season
2023 Wk12,Tucson Sugar Skulls,Brooklyn Bolts,143.85,191.7,Season
2023 Wk12,Cedar Rapids Titans,Northern Arizona Wranglers,192.6,189.35,Season
2023 Wk12,Boston Brawlers,Miami Inferno,128.75,174.2,Season
2023 Wk12,Cleveland Gladiators,Milwaukee Mustangs,186.7,167.3,Season
2023 Wk13,Brooklyn Bolts,Cleveland Gladiators,196.8,180.05,Season
2023 Wk13,Los Angeles Wildcats,Boston Brawlers,96.3,175.3,Season
2023 Wk13,Miami Inferno,Chicago Slaughter,158.8,189.25,Season
2023 Wk13,Northern Arizona Wranglers,Philadelphia Soul,156.1,139.9,Season
2023 Wk13,Milwaukee Mustangs,Tucson Sugar Skulls,160,180.45,Season
2023 Wk13,Vegas Knight Hawks,Cedar Rapids Titans,154.6,155.4,Season
2023 Wk14,Miami Inferno,Los Angeles Wildcats,123.5,141.45,Season
2023 Wk14,Boston Brawlers,Chicago Slaughter,141.7,174.25,Season
2023 Wk14,Northern Arizona Wranglers,Vegas Knight Hawks,160.4,144.6,Season
2023 Wk14,Milwaukee Mustangs,Brooklyn Bolts,156.6,147.6,Season
